Zeit Kanal A
(ms) (mV)
-31.41633000 2.66426600
-31.39585000 3.56151000
-31.37537000 2.66426600
-31.35489000 3.56151000
-31.33441000 2.66426600
-31.31393000 3.56151000
-31.29345000 1.76397000
-31.27297000 3.56151000
-31.25249000 2.66426600
-31.23201000 2.66426600
-31.21153000 3.56151000
-31.19105000 2.66426600
-31.17057000 3.56151000
-31.15009000 2.66426600
-31.12961000 2.66426600
-31.10913000 2.66426600
-31.08865000 3.56151000
-31.06817000 3.56151000
-31.04769000 2.66426600
-31.02721000 3.56151000
-31.00673000 2.66426600
-30.98625000 3.56151000
-30.96577000 2.66426600
-30.94529000 2.66426600
-30.92481000 2.66426600
-30.90433000 3.56151000
-30.88385000 3.56151000
-30.86337000 2.66426600
-30.84289000 3.56151000
-30.82241000 3.56151000
-30.80193000 2.66426600
-30.78145000 1.76397000
-30.76097000 2.66426600
-30.74049000 2.66426600
-30.72001000 2.66426600
-30.69953000 3.56151000
-30.67905000 2.66426600
-30.65857000 3.56151000
-30.63809000 2.66426600
-30.61761000 2.66426600
-30.59713000 1.76397000
-30.57665000 2.66426600
-30.55617000 3.56151000
-30.53569000 3.56151000
-30.51521000 3.56151000
-30.49473000 2.66426600
-30.47425000 3.56151000
-30.45377000 2.66426600
-30.43329000 2.66426600
-30.41281000 2.66426600
-30.39233000 2.66426600
-30.37185000 3.56151000
-30.35137000 2.66426600
-30.33089000 3.56151000
-30.31041000 2.66426600
-30.28993000 2.66426600
-30.26945000 2.66426600
-30.24897000 2.66426600
-30.22849000 2.66426600
-30.20801000 2.66426600
-30.18753000 3.56151000
-30.16705000 2.66426600
-30.14657000 2.66426600
-30.12609000 2.66426600
-30.10561000 2.66426600
-30.08513000 2.66426600
-30.06465000 3.56151000
-30.04417000 3.56151000
-30.02369000 2.66426600
-30.00321000 3.56151000
-29.98273000 2.66426600
-29.96225000 2.66426600
-29.94177000 1.76397000
-29.92129000 2.66426600
-29.90081000 2.66426600
-29.88033000 2.66426600
-29.85985000 3.56151000
-29.83937000 3.56151000
-29.81889000 3.56151000
-29.79841000 3.56151000
-29.77793000 3.56151000
-29.75745000 2.66426600
-29.73697000 3.56151000
-29.71649000 3.56151000
-29.69601000 2.66426600
-29.67553000 3.56151000
-29.65505000 3.56151000
-29.63457000 3.56151000
-29.61409000 3.56151000
-29.59361000 2.66426600
-29.57313000 2.66426600
-29.55265000 3.56151000
-29.53217000 3.56151000
-29.51169000 3.56151000
-29.49121000 3.56151000
-29.47073000 3.56151000
-29.45025000 3.56151000
-29.42977000 1.76397000
-29.40929000 2.66426600
-29.38881000 2.66426600
-29.36833000 3.56151000
-29.34785000 3.56151000
-29.32737000 3.56151000
-29.30689000 3.56151000
-29.28641000 3.56151000
-29.26593000 3.56151000
-29.24545000 2.66426600
-29.22497000 3.56151000
-29.20449000 3.56151000
-29.18401000 3.56151000
-29.16353000 3.56151000
-29.14305000 3.56151000
-29.12257000 3.56151000
-29.10209000 3.56151000
-29.08161000 2.66426600
-29.06113000 2.66426600
-29.04065000 3.56151000
-29.02017000 3.56151000
-28.99969000 3.56151000
-28.97921000 3.56151000
-28.95873000 3.56151000
-28.93825000 3.56151000
-28.91777000 1.76397000
-28.89729000 3.56151000
-28.87681000 2.66426600
-28.85633000 3.56151000
-28.83585000 3.56151000
-28.81537000 3.56151000
-28.79489000 3.56151000
-28.77441000 3.56151000
-28.75393000 2.66426600
-28.73345000 2.66426600
-28.71297000 3.56151000
-28.69249000 3.56151000
-28.67201000 3.56151000
-28.65153000 3.56151000
-28.63105000 3.56151000
-28.61057000 3.56151000
-28.59009000 2.66426600
-28.56961000 2.66426600
-28.54913000 2.66426600
-28.52865000 3.56151000
-28.50817000 3.56151000
-28.48769000 2.66426600
-28.46721000 3.56151000
-28.44673000 2.66426600
-28.42625000 2.66426600
-28.40577000 1.76397000
-28.38529000 3.56151000
-28.36481000 2.66426600
-28.34433000 3.56151000
-28.32385000 3.56151000
-28.30337000 2.66426600
-28.28289000 3.56151000
-28.26241000 2.66426600
-28.24193000 2.66426600
-28.22145000 1.76397000
-28.20097000 2.66426600
