Zeit,Kanal A,Kanal B
(ms),(mV),(V)

-4.14464600,2.46742200,-1.53733900
-4.14336600,2.46742200,-1.53733900
-4.14208600,2.46742200,-1.53733900
-4.14080600,2.46742200,-1.53733900
-4.13952600,2.91604400,-1.53733900
-4.13824600,2.91604400,-1.53733900
-4.13696600,2.46742200,-1.53733900
-4.13568600,2.46742200,-1.53733900
-4.13440700,2.91604400,-1.53733900
-4.13312600,2.46742200,-1.51963900
-4.13184600,2.46742200,-1.51963900
-4.13056600,2.46742200,-1.53733900
-4.12928600,2.46742200,-1.53733900
-4.12800600,2.46742200,-1.53733900
-4.12672600,2.91604400,-1.53733900
-4.12544600,2.91604400,-1.53733900
-4.12416600,1.57017700,-1.55497900
-4.12288600,1.57017700,-1.55497900
-4.12160600,2.01879900,-1.53733900
-4.12032600,1.57017700,-1.53733900
